Team,Elo Rating
Rockford Rage Women's Roller Derby / Rockford Rage ,666
Bristol Roller Derby  / Charter Team,704
Roller Derby Caen  / Leopard Avengers ,707
Penn Jersey Roller Derby / Devils,688
North Star Roller Derby / NSRD Supernovas,680
Minnesota Roller Derby / MN Nice,703
Black Rose Rollers / Black Rose Rollers All Stars,708
Auverniak's Roller Derby  / Les Auver'Niaks,714
Twin State Derby / Vixens,723
Tampere Roller Derby / All Stars,664
Royal City Roller Derby / Bruteleggers,675
Rotterdam Roller Derby  / Death Row Honeys,708
Philly Roller Derby / Philly Roller Derby B Team,683
Philly Roller Derby / Philly Roller Derby A-Team,677
Paris Roller Derby / Les Quedalles,681
Minnesota Roller Derby / MNRD Allstars,703
Blue Ridge Roller Derby / The Retrogrades,697
Bear City Roller Derby / Wallstars,695
B.M.O. Roller Derby Girls / Toustes Etoiles,723
Fox Cities Roller Derby / Fox Cities Roller Derby All-Stars,690
Fort Collins Roller Derby / Fort Collins MicroBrewsers,716
Elevated Roller Derby,684
Tragic City Roller Derby / Tragic City All-Stars,725
Stuttgart Valley Roller Derby,685
Nantes Roller Derby / Duc.hesse.s,714
Lowcountry Highrollers A,691
Kallio Rolling Rainbow,651
Fort Collins Roller Derby / MicroBrewsers,694
Boulder County Roller Derby / Flatiron Phoenixes,774
Atlanta Roller Derby / Dirty South Derby,728
Appalachian Roller Derby,677
Connecticut Roller Derby  / Connecticut All Stars,711
Birmingham Roller Derby,695
Auld Reekie / A,698
Orlando Roller Derby / Sun Blockers,676
Orlando Roller Derby / O-zone Slayers,681
Burning River Roller Derby A,698
Burning River Roller Derby B,689
Schuylkill County Scream Queens / The Scream Queens,713
ROLLER DERBY MADRID,732
Les Quads de Paris / La Boucherie,715
AS BRIGANTIAS ROLLER DERBY A CORUÑA,647
Ohio Roller Derby / Charter Team,708
NOVA Roller Derby / SuperNOVAs,713
Nantes Roller Derby / Les Duc.hesses,723
Red Stick Roller Derby / All Stars,764
Fabulous Sin City Roller Derby / Ace Of Spades,702
Druid City Derby / Druid City Dames,698
Gothenburg Roller Derby / Aqwarriors,687
Bristol Roller Derby / A,701
South Sea Roller Derby / Banshees,684
Chicago-Style Roller Derby / CSRD A Team,677
Atlanta Roller Derby / Rumble B's,706
Dutchland Derby Rollers / Dutchland All Stars,724
301 Derby Dames,701
Auver'Niaks APR63 / Auver'Niaks,678
Saskatoon Roller Derby League / Mindfox,686
Columbia Roller Derby / Columbia Quadsquad,719
Panhandle United Roller Derby,651
NANTES ROLLER DERBY / LES DUC.HESSE.S,700
Rocktown Rollers,666
Nuclear Free Roller Derby / NF Bombs,711
Wilkes-Barre Scranton Roller Derby / Roller Radicals,677
Namur Roller Derby / Namur Roller Derby A,711
STATE COLLEGE AREA ROLLER DERBY / SCAR,696
Downriver Roller Dolls,707
Dirty Jersey Roller Derby / Dirty Jersey All Stars,711
INLAND EMPIRE ROLLER DERBY,685
Rockford Rage Women’s Roller Derby,689
Nuclear Free Roller Derby / nF Bombs,663
Maine Roller Derby / Old Port Brigade,692
Kallio Rolling Rainbow / All colours,717
Dock City Rollers / Achors,710
Barcelona Roller Derby / B-Ingles de Acero,693
SAM / SAM A,704
LOMME ROLLER DERBY / BAD BUNNIES,698
ROLLER DERBY TOULOUSE / NOTHING TOULOUSE,699
PARIS ROLLER DERBY / ALL STARS,730
Jet City Roller Derby / Jet City Roller Derby All Stars,706
Brewcity Bruisers / Battlestars,682
Roller Derby Madrid / A,706
Saskatoon Roller Derby / Mindfox,702
Chattanooga Roller Derby,717
Chattanooga Roller Derby / Chattanooga  All Stars,699
Antwerp Roller Derby / One Love Roller Dolls,698
North Texas Roller Derby / Fighting Unicorns,698
Ruhrpott Roller Derby / A,717
Metropolitan Roller Derby Chile / Metropolitan All Stars,687
Manchester Valkyries,687
Boston Roller Derby  / Boston Roller Derby B Team ,682
Philly Roller Derby / Philly Roller Derby B Team ,698
Dock City Rollers / Dock City Rollers - Anchors,673
Rat City Roller Derby / Rat City Roller Derby Rain of Terror,725
Peninsula Roller Derby / Supernovas B,711
Rose City Rollers /  Axles of Annihilation,665
Arizona Roller Derby / Rising Star,694
Away Team,691
Happy Valley Derby Darlings / Molly Morbids,712
Rat City Roller Derby  / Rat City Roller Derby All Stars,698
Paris Roller Derby / All Star,702
El Paso Roller Derby / TexPistols,690
El Paso Roller Derby / Pistol WhipHers,689
Tragic City Rollers,684
SOCAL DERBY / THE CUTTLEFISH,704
Birmingham Roller Derby / Birmingham Roller Derby B,699
Roller Derby Rennes Les Deferlantes,708
Oslo Roller Derby / A Team,704
Queen City Roller Derby / Lake Effect Furies,691
Gotham Roller Derby A / All Stars,719
Madison Roller Derby / The Herd,656
Windy City Rollers / All-Stars,688
Sailor City Rollers / Sailor,711
Atomic Bombs Roller Derby,667
Dublin Roller Derby / A,704
Stuttgart Valley Roller Derby / SVRD,709
Birmingham Roller Derby / A team,685
Roller Derby Dresden / Dresden Pioneers,708
Lutece Destroyeuses Roller Derby Paris / Les Encastreuses,668
London Roller Derby / Brawl Saints,701
Dublin Roller Derby / The Be Grands,715
Dom City Roller Derby / Dom City,703
Dom City Roller Derby / Dom City Dolls,712
Nor Cal Roller Girls,681
V Town,698
 Dirty Jersey RD / Dirty Jersey RD,697
Quad City Roller Derby,704
Orlando Roller Derby A,707
GLASGOW ROLLER DERBY / IRN BRUISERS,717
Angel City Derby / Rocket Queens,693
Dublin Roller Derby / B,711
Chattanooga B-Railers,703
Sun State Roller Derby / Swarm,644
Chattanooga All-Stars,686
Chattanooga B-Rollers,681
Roller Derby Clermont Ferrand / Auver'niaks,672
Wiltshire Roller Derby,711
Aalborg Roller Derby,701
TACONES BANDIDOS / TACONES BANDIDOS ,718
TACONES BANDIDOS,714
River City Roller Derby / Riot,683
Tampere Roller Derby / All-Stars,693
Stockholm Roller Derby / All Stars,688
Kingston Roller Derby / Team Ontario,671
BOGOTÁ BONE BREAKERS,838
Dutchland Rollers / All Stars,684
Rat City Roller Derby / Rat City All Stars,683
Hard Breaking Dolls Prague ,730
Ithaca League of Women Rollers / Sufferjets,700
Malmö Roller Derby / Crime City Rollers B,695
Richland County Regulators Derby Team / Richland County Regulators,678
Appalachian Roller Derby / Appalachian Roller Derby All Stars,697
Greensboro Roller Derby,658
TACONES BANDIDOS ,678
Rockford Rage / Rockford Rage Women's Roller Derby,690
Oxford Roller Derby  / Oxford Roller Derby Blackbirds,700
Victorian Roller Derby League,682
Canberra Roller Derby League,642
Toronto Roller Derby / CN Power,693
Denver Roller Derby / Layovers,707
Calgary Roller Derby / Calgary Roller Derby All Stars,649
Rotterdam Roller Derby,692
Rotterdam Roller Derby / Death Row Honeys,612
Hard Knox Roller Derby / Hard Knox All Stars,685
Madison Roller Derby A,702
METROPOLITAN ROLLER DERBY CHILE / Metropolitan All Stars,700
Brewcity Bruisers / Allstars,690
Philly Roller Derby / Philly Roller Derby B-Team,686
